interest_area,coding_interest_level,preferred_domain,current_degree,field_of_study,current_status,known_languages,frameworks_known,job_type_preference,job_experience,recommended_job_role,
Logic,Intermediate,Data Science,Bachelors,Non-CS,Intern,C++,"Django, Flask, PyTorch",Freelance,3+,ml engineer,
Both,Intermediate,Cybersecurity,Bachelors,CS,Pursuing Degree,"Java, Python, SQL","None, PyTorch, Scikit-learn",Internship,3+,ml engineer,
Logic,None,DevOps,Masters,CS,Intern,"JavaScript, None, R, SQL","Django, Scikit-learn, TensorFlow",Full-time Job,3+,ml engineer,
Logic,Beginner,Frontend,Bachelors,CS,Trainee,JavaScript,"Node, PyTorch, Scikit-learn",Internship,3+,ml engineer,
Logic,None,DevOps,Bachelors,CS,Intern,"C, JavaScript, Python, SQL","React, Scikit-learn",Internship,None,ml engineer,
Creativity,None,Cybersecurity,Bachelors,CS,Intern,"None, Python, R","Django, None",Remote,None,data analyst,
Both,Advanced,Full Stack,Diploma,CS,Trainee,"C++, Python","Django, Flask, PyTorch",Internship,3+,ml engineer,
Creativity,Advanced,Cybersecurity,Bachelors,CS,Intern,"C++, JavaScript, R","None, React, TensorFlow",Remote,None,ml engineer,
Both,Intermediate,Full Stack,Masters,CS,Trainee,None,"Flask, React, Scikit-learn",Remote,3+,ml engineer,
Creativity,Advanced,Cybersecurity,Masters,Non-CS,Trainee,"Python, SQL",None,Internship,1+,data analyst,
Logic,Advanced,Backend,Masters,CS,Trainee,"JavaScript, None, SQL","Django, None, PyTorch",Internship,None,ml engineer,
Both,Beginner,Full Stack,Masters,CS,Trainee,"C, Python, SQL","Django, Node, PyTorch",Remote,1+,ml engineer,
Logic,Advanced,Frontend,Masters,Non-CS,Job Seeker,"JavaScript, None","Django, Node, Scikit-learn",Onsite,1+,ml engineer,
Both,None,Data Science,Masters,Non-CS,Job Seeker,"JavaScript, R, SQL","Flask, None, Scikit-learn",Remote,3+,ml engineer,
Logic,Intermediate,DevOps,Bachelors,Non-CS,Intern,JavaScript,Django,Freelance,1+,frontend developer,
Logic,Beginner,Backend,Bachelors,CS,Job Seeker,"Python, R",Django,Onsite,None,data analyst,
Both,Intermediate,Full Stack,Masters,Non-CS,Trainee,"C, R",React,Freelance,1+,frontend developer,
Creativity,None,Data Science,Bachelors,Non-CS,Working Professional,"C, SQL","Django, Flask, PyTorch",Full-time Job,3+,ml engineer,
Both,Intermediate,Frontend,Bachelors,CS,Pursuing Degree,"C, Java, R",TensorFlow,Freelance,None,ml engineer,
Both,Advanced,DevOps,Bachelors,Non-CS,Trainee,"C++, JavaScript, R","Flask, None",Internship,1+,frontend developer,
Logic,None,Full Stack,Masters,Non-CS,Trainee,"C, Python","Node, Scikit-learn, TensorFlow",Freelance,None,ml engineer,
Creativity,Beginner,Full Stack,Masters,Non-CS,Working Professional,"C, C++, Python, SQL",Node,Freelance,None,data analyst,
Creativity,None,DevOps,Bachelors,Non-CS,Job Seeker,"JavaScript, R, SQL","None, PyTorch",Internship,1+,ml engineer,
Creativity,Intermediate,Frontend,Diploma,CS,Job Seeker,C,None,Remote,None,intern,
Logic,Intermediate,Backend,Bachelors,Non-CS,Pursuing Degree,"C, C++, Java, JavaScript",React,Freelance,3+,frontend developer,
Logic,Intermediate,Data Science,Diploma,Non-CS,Pursuing Degree,"Java, None","Flask, Scikit-learn, TensorFlow",Internship,1+,ml engineer,
Creativity,Beginner,DevOps,Diploma,CS,Intern,C,"Flask, None",Full-time Job,3+,backend developer,
Creativity,None,Data Science,Masters,Non-CS,Pursuing Degree,"Java, None",None,Freelance,1+,backend developer,
Both,None,Cybersecurity,Masters,CS,Intern,"Java, JavaScript","Django, PyTorch",Freelance,1+,ml engineer,
Creativity,Beginner,AI/ML,Diploma,Non-CS,Job Seeker,"C++, JavaScript","Node, PyTorch, Scikit-learn",Remote,1+,ml engineer,
Both,Advanced,AI/ML,Bachelors,Non-CS,Trainee,"C, C++, Python, R",Django,Internship,1+,data analyst,
Logic,Beginner,DevOps,Bachelors,CS,Intern,"C, None","React, Scikit-learn, TensorFlow",Onsite,3+,ml engineer,
Creativity,Intermediate,Backend,Bachelors,CS,Trainee,JavaScript,"Django, None, React",Internship,3+,frontend developer,
Creativity,Advanced,Frontend,Masters,Non-CS,Trainee,"C++, None","Node, Scikit-learn",Internship,3+,ml engineer,
Logic,None,Frontend,Diploma,Non-CS,Pursuing Degree,None,"None, Scikit-learn, TensorFlow",Remote,3+,ml engineer,
Logic,Advanced,Cybersecurity,Masters,CS,Pursuing Degree,"JavaScript, Python","None, Scikit-learn",Onsite,1+,ml engineer,
Creativity,Intermediate,Backend,Masters,Non-CS,Working Professional,"JavaScript, Python, R, SQL","React, Scikit-learn",Freelance,None,ml engineer,
Logic,None,Frontend,Diploma,CS,Working Professional,"JavaScript, None, Python, R","React, TensorFlow",Internship,None,ml engineer,
Creativity,Beginner,Full Stack,Diploma,CS,Intern,C,None,Full-time Job,None,intern,
Both,Advanced,Full Stack,Diploma,Non-CS,Pursuing Degree,Java,Flask,Onsite,3+,backend developer,
Creativity,Advanced,Backend,Bachelors,CS,Intern,"C, C++, None, Python","React, Scikit-learn, TensorFlow",Remote,1+,ml engineer,
Both,Beginner,DevOps,Bachelors,Non-CS,Intern,"Python, SQL",Node,Freelance,None,data analyst,
Creativity,Advanced,Frontend,Bachelors,Non-CS,Trainee,"C++, SQL",TensorFlow,Remote,3+,ml engineer,
Both,None,DevOps,Diploma,Non-CS,Working Professional,SQL,React,Full-time Job,1+,frontend developer,
Logic,Intermediate,Cybersecurity,Bachelors,Non-CS,Pursuing Degree,"Java, JavaScript","Django, None",Full-time Job,1+,frontend developer,
Both,Intermediate,Full Stack,Bachelors,CS,Intern,"None, SQL","Flask, PyTorch",Full-time Job,3+,ml engineer,
Logic,Intermediate,Full Stack,Masters,CS,Trainee,"C, C++, SQL","React, TensorFlow",Onsite,3+,ml engineer,
Logic,Intermediate,Frontend,Masters,Non-CS,Intern,"JavaScript, Python, R","Flask, None, React",Freelance,1+,data analyst,
Creativity,Beginner,DevOps,Diploma,Non-CS,Working Professional,"JavaScript, None, Python","Node, PyTorch",Freelance,3+,ml engineer,
Both,Beginner,DevOps,Masters,Non-CS,Intern,None,PyTorch,Full-time Job,None,ml engineer,
Both,Beginner,Frontend,Diploma,Non-CS,Intern,"C, JavaScript, R",Node,Remote,3+,frontend developer,
Logic,Advanced,AI/ML,Diploma,CS,Pursuing Degree,"C, C++, None, R","React, TensorFlow",Freelance,None,ml engineer,
Creativity,None,DevOps,Bachelors,Non-CS,Job Seeker,Python,TensorFlow,Internship,3+,ml engineer,
Logic,Advanced,Cybersecurity,Bachelors,CS,Working Professional,"C, Java, None",TensorFlow,Full-time Job,1+,ml engineer,
Creativity,Advanced,Cybersecurity,Diploma,Non-CS,Pursuing Degree,"JavaScript, R","Node, TensorFlow",Full-time Job,1+,ml engineer,
Logic,None,Backend,Masters,CS,Intern,"C, C++, SQL",PyTorch,Internship,None,ml engineer,
Creativity,None,Frontend,Bachelors,CS,Intern,"C, JavaScript, Python, R","None, React, TensorFlow",Full-time Job,3+,ml engineer,
Creativity,Advanced,DevOps,Diploma,CS,Pursuing Degree,"C++, None","Django, Flask, PyTorch",Onsite,3+,ml engineer,
Logic,None,Backend,Diploma,CS,Pursuing Degree,None,"Django, Node, TensorFlow",Freelance,3+,ml engineer,
Both,Beginner,DevOps,Diploma,CS,Trainee,"None, R","Django, None, React",Freelance,None,frontend developer,
Both,Beginner,Backend,Diploma,CS,Pursuing Degree,"C, C++, JavaScript, R",Scikit-learn,Full-time Job,3+,ml engineer,
Creativity,Advanced,Frontend,Masters,Non-CS,Pursuing Degree,R,"Node, None, TensorFlow",Freelance,None,ml engineer,
Both,None,Frontend,Masters,CS,Pursuing Degree,"C++, JavaScript, SQL","Scikit-learn, TensorFlow",Internship,None,ml engineer,
Creativity,Intermediate,Cybersecurity,Masters,CS,Pursuing Degree,"Java, JavaScript, Python, SQL","Flask, React",Onsite,1+,data analyst,
Creativity,Advanced,DevOps,Masters,Non-CS,Intern,Python,"Django, None, React",Freelance,1+,data analyst,
Both,Advanced,Full Stack,Diploma,CS,Working Professional,"C++, Java, JavaScript, Python",Flask,Freelance,3+,data analyst,
Logic,None,Frontend,Masters,Non-CS,Trainee,"C, Python, SQL","React, TensorFlow",Full-time Job,1+,ml engineer,
Creativity,Advanced,Data Science,Masters,CS,Pursuing Degree,"C, Java, None",React,Freelance,None,frontend developer,
Logic,Beginner,AI/ML,Bachelors,CS,Working Professional,None,"Django, PyTorch",Freelance,None,ml engineer,
Logic,Advanced,Backend,Bachelors,CS,Pursuing Degree,"C, Python","Django, Flask, PyTorch",Internship,3+,ml engineer,
Both,Advanced,Data Science,Masters,CS,Job Seeker,"None, R, SQL",PyTorch,Remote,3+,ml engineer,
Both,Advanced,Frontend,Diploma,Non-CS,Job Seeker,"Java, JavaScript","None, PyTorch, TensorFlow",Remote,3+,ml engineer,
Logic,Advanced,DevOps,Bachelors,CS,Intern,"Java, JavaScript, SQL","Flask, None",Remote,None,frontend developer,
Both,Beginner,Cybersecurity,Bachelors,CS,Job Seeker,"C++, Java, SQL","Django, Flask, None",Freelance,None,backend developer,
Logic,Advanced,Frontend,Bachelors,CS,Intern,None,"None, React, TensorFlow",Freelance,None,ml engineer,
Both,Beginner,Frontend,Bachelors,Non-CS,Pursuing Degree,"C++, None, Python, R","Flask, Scikit-learn",Freelance,1+,ml engineer,
Logic,Intermediate,Data Science,Masters,Non-CS,Trainee,SQL,"Django, Node, Scikit-learn",Freelance,None,ml engineer,
Logic,Intermediate,DevOps,Bachelors,Non-CS,Intern,"C++, Java, None, SQL","Flask, React, TensorFlow",Freelance,None,ml engineer,
Both,None,DevOps,Diploma,Non-CS,Job Seeker,C,"Scikit-learn, TensorFlow",Freelance,1+,ml engineer,
Creativity,None,Full Stack,Diploma,CS,Pursuing Degree,R,Node,Onsite,1+,backend developer,
Both,None,AI/ML,Diploma,Non-CS,Job Seeker,"Java, SQL","Django, None",Internship,3+,backend developer,
Creativity,Advanced,Data Science,Diploma,Non-CS,Intern,"C, None","PyTorch, Scikit-learn",Remote,3+,ml engineer,
Both,Beginner,AI/ML,Bachelors,Non-CS,Pursuing Degree,"C, C++, Java, R","Flask, None, PyTorch",Remote,3+,ml engineer,
Both,Advanced,Cybersecurity,Diploma,CS,Trainee,R,"Flask, PyTorch, Scikit-learn",Onsite,3+,ml engineer,
Both,Beginner,Data Science,Diploma,Non-CS,Pursuing Degree,C,"Django, Flask, PyTorch",Full-time Job,1+,ml engineer,
Both,Beginner,Frontend,Bachelors,CS,Intern,"C++, Java","Django, Node",Full-time Job,3+,backend developer,
Both,None,Frontend,Bachelors,Non-CS,Working Professional,"C, C++, SQL","Django, Flask",Onsite,1+,backend developer,
Creativity,Beginner,DevOps,Bachelors,CS,Trainee,"C, R, SQL","PyTorch, React",Onsite,None,ml engineer,
Logic,Intermediate,Backend,Diploma,CS,Pursuing Degree,Python,"Node, TensorFlow",Internship,None,ml engineer,
Both,Intermediate,Data Science,Diploma,CS,Job Seeker,"C++, R","Django, Node",Remote,1+,backend developer,
Logic,Intermediate,AI/ML,Diploma,Non-CS,Pursuing Degree,"C++, None, Python, R","None, PyTorch, React",Internship,None,ml engineer,
Both,None,Full Stack,Masters,Non-CS,Pursuing Degree,"C, Java, Python, R","Flask, PyTorch",Freelance,1+,ml engineer,
Both,None,DevOps,Masters,Non-CS,Trainee,"C, C++, JavaScript, R",PyTorch,Remote,1+,ml engineer,
Creativity,Intermediate,DevOps,Diploma,Non-CS,Intern,"C++, Java, JavaScript","None, React, TensorFlow",Freelance,None,ml engineer,
Both,Advanced,DevOps,Masters,Non-CS,Intern,C++,Node,Freelance,None,backend developer,
Both,Beginner,Full Stack,Diploma,CS,Pursuing Degree,"C++, Python",TensorFlow,Freelance,None,ml engineer,
Both,Intermediate,Full Stack,Masters,Non-CS,Working Professional,"C, None, R, SQL","Flask, React",Freelance,None,frontend developer,
Logic,Advanced,AI/ML,Masters,Non-CS,Job Seeker,"Python, R, SQL","React, TensorFlow",Remote,3+,ml engineer,
